0.000,0.000
0.100,0.000
0.204,0.000
0.305,0.000
0.409,0.000
0.509,0.000
0.613,0.000
0.718,0.000
0.823,0.000
0.923,0.000
1.028,0.000
1.133,0.000
1.233,0.000
1.338,0.000
1.443,0.000
1.548,0.000
1.653,0.000
1.758,0.000
1.858,0.000
1.963,0.000
2.063,0.000
2.168,0.000
2.273,0.000
2.373,0.000
2.478,0.000
2.583,0.000
2.688,0.000
2.793,0.000
2.898,0.000
2.998,0.000
3.103,0.000
3.208,0.000
3.313,0.000
3.418,0.000
3.523,0.000
3.623,0.000
3.728,0.000
3.833,0.000
3.938,0.000
4.038,0.000
4.143,0.000
4.243,0.000
4.348,0.000
4.448,0.000
4.553,0.000
4.658,0.000
4.763,0.000
4.863,0.000
4.968,0.000
5.073,0.000
5.178,0.000
5.283,0.000
5.388,0.000
5.488,0.000
5.593,0.000
5.698,0.000
5.803,0.000
5.908,0.000
6.013,0.000
6.113,0.000
6.218,0.000
6.323,0.000
6.428,0.000
6.533,0.000
6.638,0.000
6.738,0.000
6.843,0.000
6.948,0.000
7.053,0.000
7.158,0.000
7.263,0.000
7.363,0.000
7.468,0.000
7.573,0.000
7.678,0.000
7.783,0.000
7.888,0.000
7.988,0.000
8.093,0.000
8.198,0.000
8.303,0.000
8.403,0.001
8.503,0.008
8.606,0.026
8.703,0.053
8.801,0.091
8.894,0.139
8.979,0.192
9.061,0.257
9.134,0.326
9.202,0.405
9.260,0.487
9.310,0.574
9.353,0.669
9.385,0.764
9.409,0.866
9.429,0.964
9.449,1.067
9.469,1.165
9.489,1.263
9.509,1.361
9.529,1.459
9.549,1.557
9.569,1.655
9.589,1.753
9.609,1.851
9.629,1.949
9.649,2.047
9.669,2.145
9.689,2.243
9.709,2.341
9.729,2.439
9.749,2.537
9.769,2.640
9.789,2.738
9.809,2.836
9.828,2.939
9.838,3.039
9.846,3.143
9.853,3.243
9.861,3.343
9.866,3.443
9.866,3.543
9.865,3.643
9.863,3.743
9.862,3.843
9.861,3.943
9.860,4.043
9.859,4.143
9.857,4.243
9.856,4.343
9.855,4.443
9.854,4.543
9.853,4.643
9.852,4.743
9.850,4.843
9.849,4.943
9.848,5.043
9.847,5.143
9.846,5.247
9.844,5.347
9.843,5.447
9.842,5.547
9.841,5.647
9.840,5.747
9.838,5.847
9.837,5.947
9.836,6.047
9.835,6.147
9.834,6.247
9.832,6.347
9.831,6.447
9.830,6.547
9.829,6.647
9.828,6.747
9.826,6.847
9.825,6.947
9.824,7.047
9.823,7.147
9.822,7.247
9.820,7.347
9.819,7.447
9.817,7.547
9.805,7.647
9.783,7.749
9.753,7.845
9.712,7.941
9.664,8.029
9.605,8.115
9.540,8.192
9.465,8.265
9.384,8.331
9.300,8.386
9.207,8.435
9.114,8.472
9.015,8.505
8.919,8.535
8.819,8.568
8.720,8.600
8.624,8.631
8.524,8.663
8.425,8.695
8.329,8.725
8.231,8.746
8.127,8.759
8.027,8.761
7.923,8.753
7.819,8.738
7.720,8.723
7.616,8.708
7.512,8.693
7.408,8.678
7.308,8.670
7.208,8.667
7.108,8.665
7.008,8.663
6.908,8.661
6.808,8.659
6.708,8.657
6.608,8.655
6.504,8.653
6.404,8.651
6.304,8.649
6.204,8.647
6.104,8.645
6.004,8.643
